id,start,duration,attendance_status,status,topic,service_id,contractor_id,student_id,paying_client_id,charge_rate,tutor_rate,startDate,commRate,commissionOld,newCommRate,commissionNew,,month,Oct-24
7516055,2022-07-05T17:00:00Z,1,,complete,Maths,552861,1751334,1749541,1749500,68,50,05/07/2022 17:00,18,18,24,24,,start,01/10/2024
7510693,2022-07-06T16:00:00Z,1,,complete,Verbal & Non-Verbal Reasoning,552885,1749410,1749576,1749574,70,53,06/07/2022 16:00,17,17,12,12,,end,01/11/2024
7510714,2022-07-06T18:00:00Z,0.83,,complete,Reason & Argument,552816,1749410,1749421,1749420,65,57.6,06/07/2022 18:00,7.4,6.142,22,18.26,,status,complete
7510770,2022-07-07T16:00:00Z,1,,complete,Verbal and Non-Verbal Reasoning,552876,1749410,1749557,1749556,65,43,07/07/2022 16:00,22,22,12,12,,commission,4523.25
7516053,2022-07-07T17:00:00Z,2,,complete,Maths,552825,1751334,1749458,1748975,58,48,07/07/2022 17:00,10,20,10,20,,count,184
7510774,2022-07-07T18:00:00Z,1,,complete,Verbal Reasoning,552880,1749410,1749559,1749558,65,43,07/07/2022 18:00,22,22,22,22,,duration,196.25
7516109,2022-07-12T17:00:00Z,1,,cancelled,Maths,552861,1751334,1749541,1749500,68,50,12/07/2022 17:00,18,18,24,24,,,
7519099,2022-07-13T16:30:00Z,1,,complete,11+ Comprehension and Verbal Reasoning,552887,1749410,1749576,1749574,65,43,13/07/2022 16:30,22,22,12,12,,newCommission,4395.75
7549306,2022-07-13T18:00:00Z,1,,cancelled,CANCELLED,552816,1749410,1749421,1749420,65,48,13/07/2022 18:00,17,17,22,22,,,
7549410,2022-07-14T16:00:00Z,1,,complete,"11+ Comprehension, VR and Maths",552876,1749410,1749557,1749556,65,43,14/07/2022 16:00,22,22,12,12,,,
7516260,2022-07-14T17:00:00Z,2,,cancelled,Maths,552825,1751334,1749458,1748975,58,48,14/07/2022 17:00,10,20,10,20,,,
7549361,2022-07-14T17:30:00Z,1,,cancelled,CANCELLED,552877,1749410,1749559,1749558,70,50,14/07/2022 17:30,20,20,20,20,,,
7549717,2022-07-16T09:00:00Z,1,,complete,"Gentle Assessment - Reading, Writing, Arithmetic",554684,1749410,1756905,1751160,70,55,16/07/2022 09:00,15,15,22,22,,,
7550363,2022-07-18T16:40:00Z,1,,complete,"Gentle Assessment - Reading, Writing, Arithmetic (Cont.)",554684,1749410,1756905,1751160,70,55,18/07/2022 16:40,15,15,22,22,,,
7516110,2022-07-19T17:00:00Z,1,,cancelled,Maths,552861,1751334,1749541,1749500,68,50,19/07/2022 17:00,18,18,24,24,,,
7606137,2022-07-20T16:45:00Z,1,,complete,11+ Verbal Reasoning Focus,552885,1749410,1749576,1749574,70,53,20/07/2022 16:45,17,17,12,12,,,
7606253,2022-07-20T18:30:00Z,1,,complete,"Critical Thinking, Comprehension, Spelling, and Vocabulary",552816,1749410,1749421,1749420,65,48,20/07/2022 18:30,17,17,22,22,,,
7606181,2022-07-21T16:00:00Z,1,,complete,11+ Verbal and Non-Verbal Reasoning,552876,1749410,1749557,1749556,65,43,21/07/2022 16:00,22,22,12,12,,,
7516261,2022-07-21T17:00:00Z,2,,cancelled,Maths,552825,1751334,1749458,1748975,58,48,21/07/2022 17:00,10,20,10,20,,,
7532274,2022-07-25T11:00:00Z,2,,complete,Introduction lesson,554683,1756419,1756776,1751232,70,65,25/07/2022 11:00,5,10,5,10,,,
7561129,2022-07-26T11:00:00Z,2,,complete,Lesson 2,554683,1756419,1756776,1751232,70,65,26/07/2022 11:00,5,10,5,10,,,
7516111,2022-07-26T17:00:00Z,1,,cancelled,Maths,552861,1751334,1749541,1749500,68,50,26/07/2022 17:00,18,18,24,24,,,
7606267,2022-07-27T16:30:00Z,1,,cancelled,CANCELLED,552885,1749410,1749576,1749574,70,53,27/07/2022 16:30,17,17,12,12,,,
7606268,2022-07-28T16:00:00Z,1,,cancelled,CANCELLED - Student Holiday,552872,1749410,1749557,1749556,70,53,28/07/2022 16:00,17,17,12,12,,,
7516262,2022-07-28T17:00:00Z,2,,cancelled,Maths,552825,1751334,1749458,1748975,58,48,28/07/2022 17:00,10,20,10,20,,,
7606269,2022-07-28T17:30:00Z,1,,cancelled,CANCELLED - Student Holiday,552877,1749410,1749559,1749558,70,50,28/07/2022 17:30,20,20,20,20,,,
7629817,2022-08-02T16:00:00Z,1,,complete,7+ Preparation,561238,1749613,1771995,1765910,68,50,02/08/2022 16:00,18,18,18,18,,,
7516112,2022-08-02T17:00:00Z,1,,cancelled,Maths,552861,1751334,1749541,1749500,68,50,02/08/2022 17:00,18,18,24,24,,,
7629651,2022-08-02T17:15:00Z,1.5,,cancelled,"Maths, English, Science & History",552865,1749613,1749548,1749547,68,50,02/08/2022 17:15,18,27,24,36,,,
7878142,2022-08-03T16:00:00Z,1,,complete,11+ Preparation,552887,1749410,1749576,1749574,65,43,03/08/2022 16:00,22,22,12,12,,,
7878254,2022-08-04T17:30:00Z,1,,complete,11+ Comprehension,552880,1749410,1749559,1749558,0,43,04/08/2022 17:30,-43,-43,22,22,,,
7516263,2022-08-04T17:45:00Z,1.75,,complete,Maths,552825,1751334,1749458,1748975,58,48,04/08/2022 17:45,10,17.5,10,17.5,,,
7629984,2022-08-06T08:30:00Z,1,,complete,7+ Preparation,552883,1749613,1749563,1749561,68,60,06/08/2022 08:30,8,8,20,20,,,
7629870,2022-08-06T10:00:00Z,1,,complete,7+ Preparation,561238,1749613,1771995,1765910,68,50,06/08/2022 10:00,18,18,18,18,,,
7629985,2022-08-09T08:30:00Z,1,,complete,7+ Preparation,552883,1749613,1749563,1749561,68,60,09/08/2022 08:30,8,8,20,20,,,
7629820,2022-08-09T10:30:00Z,1,,complete,7+ Preparation,561238,1749613,1771995,1765910,68,50,09/08/2022 10:30,18,18,18,18,,,
7516113,2022-08-09T17:00:00Z,1,,cancelled,Maths,552861,1751334,1749541,1749500,68,50,09/08/2022 17:00,18,18,24,24,,,
7629653,2022-08-09T17:15:00Z,1.5,,cancelled,"Maths, English, Science & History",552865,1749613,1749548,1749547,68,50,09/08/2022 17:15,18,27,24,36,,,
7663311,2022-08-10T16:30:00Z,1,,complete,11+ Preparation,552885,1749410,1749576,1749574,65,43,10/08/2022 16:30,22,22,12,12,,,
7677862,2022-08-10T17:45:00Z,1,,complete,"Critical Thinking, Spelling and Comprehension",552816,1751334,1749421,1749420,65,48,10/08/2022 17:45,17,17,22,22,,,
7663424,2022-08-10T18:00:00Z,1,,cancelled,Maths & English,552816,0,1749421,1749420,70,0,10/08/2022 18:00,70,70,22,22,,,
7663658,2022-08-11T16:00:00Z,1,,cancelled,11+ Preparation,552872,1749410,1749557,1749556,70,53,11/08/2022 16:00,17,17,12,12,,,
7657486,2022-08-11T16:00:00Z,1,,complete,11+ Preparation,563114,1776236,1776238,1752357,65,43,11/08/2022 16:00,22,22,22,22,,,
7516264,2022-08-11T17:00:00Z,2,,cancelled,Maths,552825,1751334,1749458,1748975,58,48,11/08/2022 17:00,10,20,10,20,,,
7663709,2022-08-11T17:30:00Z,1,,complete,English & 11+ Exam Technique,552877,1749410,1749559,1749558,65,43,11/08/2022 17:30,22,22,20,20,,,
7699583,2022-08-12T16:00:00Z,1,,complete,11+ Preparation,563114,1776236,1776238,1752357,65,43,12/08/2022 16:00,22,22,22,22,,,
7629872,2022-08-13T10:00:00Z,1,,cancelled,7+ Preparation,561238,1749613,1771995,1765910,68,50,13/08/2022 10:00,18,18,18,18,,,
7657463,2022-08-15T10:00:00Z,2,,cancelled,Lesson 1,563111,1776229,1756776,1751232,70,50,15/08/2022 10:00,20,40,20,40,,,
7629821,2022-08-16T16:00:00Z,1,,complete,7+ Preparation,561238,1749613,1771995,1765910,68,50,16/08/2022 16:00,18,18,18,18,,,
7516114,2022-08-16T17:00:00Z,1,,cancelled,Maths,552861,1751334,1749541,1749500,68,50,16/08/2022 17:00,18,18,24,24,,,
7629654,2022-08-16T17:15:00Z,1.5,,cancelled,"Maths, English, Science & History",552865,1749613,1749548,1749547,68,50,16/08/2022 17:15,18,27,24,36,,,
