id,status,start,finish,duration_hours,student,paying_client,paying_client_name
17649954,complete,2025-05-19T13:30:00.000Z,2025-05-19T14:30:00.000Z,1,,,""
17645260,complete,2025-05-22T03:45:00.000Z,2025-05-22T04:45:00.000Z,1,,,""
17642055,complete,2025-05-21T17:30:00.000Z,2025-05-21T18:30:00.000Z,1,,,""
17641835,complete,2025-05-22T15:30:00.000Z,2025-05-22T16:30:00.000Z,1,,,""
17641194,complete,2025-05-21T17:00:00.000Z,2025-05-21T18:00:00.000Z,1,,,""
17640062,cancelled,2025-05-27T16:00:00.000Z,2025-05-27T17:00:00.000Z,1,,,""
17629674,complete,2025-05-20T15:45:00.000Z,2025-05-20T16:45:00.000Z,1,,,""
17629664,complete,2025-05-20T15:00:00.000Z,2025-05-20T16:00:00.000Z,1,,,""
17629659,cancelled,2025-05-20T15:00:00.000Z,2025-05-20T16:00:00.000Z,1,,,""
17625332,complete,2025-04-29T20:30:00.000Z,2025-04-29T20:55:00.000Z,0.4166666666666667,,,""
17625318,complete,2025-05-20T16:30:00.000Z,2025-05-20T17:30:00.000Z,1,,,""
17622336,complete,2025-05-26T17:00:00.000Z,2025-05-26T18:00:00.000Z,1,,,""
17622332,complete,2025-05-25T13:00:00.000Z,2025-05-25T14:00:00.000Z,1,,,""
17622329,complete,2025-05-24T08:00:00.000Z,2025-05-24T09:00:00.000Z,1,,,""
17621619,complete,2025-05-20T15:30:00.000Z,2025-05-20T16:30:00.000Z,1,,,""
17621612,awaiting-report,2025-05-20T15:30:00.000Z,2025-05-20T16:30:00.000Z,1,,,""
17620913,complete,2025-05-14T17:00:00.000Z,2025-05-14T18:00:00.000Z,1,,,""
17620858,complete,2025-05-07T17:00:00.000Z,2025-05-07T18:00:00.000Z,1,,,""
17620628,complete,2025-05-20T14:00:00.000Z,2025-05-20T18:00:00.000Z,4,,,""
17615585,complete,2025-06-07T09:00:00.000Z,2025-06-07T11:00:00.000Z,2,,,""
17615578,complete,2025-05-31T13:00:00.000Z,2025-05-31T15:00:00.000Z,2,,,""
17615573,complete,2025-05-31T09:00:00.000Z,2025-05-31T11:00:00.000Z,2,,,""
17606688,complete,2025-05-19T16:00:00.000Z,2025-05-19T18:00:00.000Z,2,,,""
17605477,complete,2025-05-13T17:45:00.000Z,2025-05-13T18:45:00.000Z,1,,,""
17605468,complete,2025-05-15T17:15:00.000Z,2025-05-15T18:15:00.000Z,1,,,""
17604778,complete,2025-05-16T16:00:00.000Z,2025-05-16T17:00:00.000Z,1,,,""
17603326,complete,2025-05-17T07:30:00.000Z,2025-05-17T08:30:00.000Z,1,,,""
17595434,complete,2025-05-25T10:00:00.000Z,2025-05-25T11:30:00.000Z,1.5,,,""
17593615,complete,2025-05-15T17:00:00.000Z,2025-05-15T18:00:00.000Z,1,,,""
17587674,complete,2025-05-20T17:00:00.000Z,2025-05-20T18:00:00.000Z,1,,,""
17582724,complete,2025-06-01T16:00:00.000Z,2025-06-01T17:00:00.000Z,1,,,""
17582702,complete,2025-05-28T14:00:00.000Z,2025-05-28T15:00:00.000Z,1,,,""
17582605,complete,2025-05-16T15:30:00.000Z,2025-05-16T16:30:00.000Z,1,,,""
17581784,cancelled-chargeable,2025-05-24T13:00:00.000Z,2025-05-24T15:00:00.000Z,2,,,""
17581775,cancelled-chargeable,2025-05-24T09:00:00.000Z,2025-05-24T11:00:00.000Z,2,,,""
17580041,complete,2025-05-19T15:00:00.000Z,2025-05-19T16:00:00.000Z,1,,,""
17574070,complete,2025-05-15T17:00:00.000Z,2025-05-15T18:00:00.000Z,1,,,""
17570681,complete,2025-05-14T16:30:00.000Z,2025-05-14T17:30:00.000Z,1,,,""
17568683,complete,2025-05-13T15:45:00.000Z,2025-05-13T16:45:00.000Z,1,,,""
17568565,complete,2025-05-13T15:00:00.000Z,2025-05-13T16:00:00.000Z,1,,,""
17563481,complete,2025-05-14T15:45:00.000Z,2025-05-14T16:45:00.000Z,1,,,""
17561737,complete,2025-05-17T08:00:00.000Z,2025-05-17T09:00:00.000Z,1,,,""
17561733,complete,2025-05-17T07:00:00.000Z,2025-05-17T08:00:00.000Z,1,,,""
17559972,complete,2025-05-13T16:00:00.000Z,2025-05-13T17:00:00.000Z,1,,,""
17556222,complete,2025-05-15T16:30:00.000Z,2025-05-15T17:30:00.000Z,1,,,""
17551123,complete,2025-05-12T17:00:00.000Z,2025-05-12T18:00:00.000Z,1,,,""
17551081,complete,2025-05-13T10:30:00.000Z,2025-05-13T11:30:00.000Z,1,,,""
